Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
,,,,,,,,,,
4756,'98 Koshien,PS,1998,Sports,Magical Company,0.15,0.1,0.12,0.03,0.41
,,,,,,,,,,
8359,.hack//G.U. Vol.1//Rebirth,PS2,2006,Role-Playing,Namco Bandai Games,0,0,0.17,0,0.17
,,,,,,,,,,
7109,.hack//G.U. Vol.2//Reminisce,PS2,2006,Role-Playing,Namco Bandai Games,0.11,0.09,0,0.03,0.23
,,,,,,,,,,
8604,.hack//G.U. Vol.2//Reminisce (jp sales),PS2,2006,Role-Playing,Namco Bandai Games,0,0,0.16,0,0.16
,,,,,,,,,,
8306,.hack//G.U. Vol.3//Redemption,PS2,2007,Role-Playing,Namco Bandai Games,0,0,0.17,0,0.17
,,,,,,,,,,
1565,.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27
,,,,,,,,,,
9076,.hack//Link,PSP,2010,Role-Playing,Namco Bandai Games,0,0,0.14,0,0.14
,,,,,,,,,,
3004,.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68
,,,,,,,,,,
4296,.hack//Outbreak Part 3,PS2,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46
,,,,,,,,,,
8009,.hack//Quarantine Part 4: The Final Chapter,PS2,2003,Role-Playing,Atari,0.09,0.07,0,0.02,0.18
,,,,,,,,,,
14279,.hack: Sekai no Mukou ni + Versus,PS3,2012,Action,Namco Bandai Games,0,0,0.03,0,0.03
,,,,,,,,,,
3770,007 Racing,PS,2000,Racing,Electronic Arts,0.3,0.2,0,0.03,0.53
,,,,,,,,,,
1275,007: Quantum of Solace,X360,2008,Action,Activision,0.82,0.52,0.01,0.14,1.49
,,,,,,,,,,
1741,007: Quantum of Solace,PS3,2008,Action,Activision,0.43,0.52,0.02,0.2,1.16
,,,,,,,,,,
3040,007: Quantum of Solace,Wii,2008,Action,Activision,0.3,0.29,0.01,0.07,0.67
,,,,,,,,,,
4501,007: Quantum of Solace,PS2,2008,Action,Activision,0.17,0,0,0.26,0.43
,,,,,,,,,,
9320,007: Quantum of Solace,DS,2008,Action,Activision,0.11,0.01,0,0.01,0.14
,,,,,,,,,,
14550,007: Quantum of Solace,PC,2008,Action,Activision,0.01,0.01,0,0,0.03
,,,,,,,,,,
1202,007: The World is not Enough,N64,2000,Action,Electronic Arts,1.13,0.38,0.02,0.03,1.55
,,,,,,,,,,
2249,007: The World is not Enough,PS,2000,Action,Electronic Arts,0.51,0.35,0,0.06,0.92
,,,,,,,,,,
421,007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts,1.72,1.33,0,0.16,3.21
,,,,,,,,,,
11233,1 vs. 100,DS,2008,Misc,DSI Games,0.08,0,0,0.01,0.09
,,,,,,,,,,
16115,1/2 Summer +,PSP,2013,Adventure,Kaga Create,0,0,0.01,0,0.01
,,,,,,,,,,
11414,10 Minute Solution,Wii,2010,Sports,Activision,0.06,0.01,0,0.01,0.08
,,,,,,,,,,
3888,100 All-Time Favorites,DS,2009,Puzzle,Ubisoft,0.35,0.12,0,0.04,0.51
,,,,,,,,,,
3008,100 Classic Books,DS,2008,Misc,Nintendo,0.13,0.52,0,0.02,0.67
,,,,,,,,,,
13892,100 Classic Games,DS,2011,Misc,Rondomedia,0,0.03,0,0,0.04
,,,,,,,,,,
14635,1000 Cooking Recipes from ELLE à table,DS,2010,Misc,Nintendo,0,0.02,0,0,0.03
,,,,,,,,,,
5538,1001 Touch Games,DS,2011,Action,Avanquest,0.12,0.17,0,0.04,0.33
,,,,,,,,,,
7712,101-in-1 Explosive Megamix,DS,2008,Puzzle,Nordcurrent,0.05,0.13,0,0.02,0.2
,,,,,,,,,,
7115,101-in-1 Party Megamix Wii,Wii,2009,Misc,Nordcurrent,0.19,0.01,0,0.02,0.23
,,,,,,,,,,
11310,101-in-1 Sports Megamix,DS,2010,Sports,Nordcurrent,0.08,0,0,0.01,0.08
,,,,,,,,,,
14623,101-in-1 Sports Party Megamix,Wii,2010,Sports,Nordcurrent,0.02,0,0,0,0.03
,,,,,,,,,,
839,1080°: TenEighty Snowboarding,N64,1998,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03
,,,,,,,,,,
15008,11eyes: CrossOver,X360,2009,Adventure,5pb,0,0,0.02,0,0.02
,,,,,,,,,,
15555,11eyes: CrossOver,PSP,2010,Adventure,5pb,0,0,0.02,0,0.02
,,,,,,,,,,
12237,12-Sai. Honto no Kimochi,3DS,2014,Adventure,Happinet,0,0,0.07,0,0.07
,,,,,,,,,,
14007,12-Sai. Koisuru Diary,3DS,2016,Adventure,Happinet,0,0,0.04,0,0.04
,,,,,,,,,,
13692,12Riven: The Psi-Climinal of Integral,PS2,2008,Adventure,CyberFront,0,0,0.04,0,0.04
,,,,,,,,,,
16543,15 Days,PC,2009,Adventure,DTP Entertainment,0,0.01,0,0,0.01
,,,,,,,,,,
5843,1701 A.D.,PC,2006,Simulation,Deep Silver,0,0.25,0,0.05,0.3
,,,,,,,,,,
4832,18 Wheeler: American Pro Trucker,PS2,2001,Racing,Acclaim Entertainment,0.2,0.15,0,0.05,0.4
,,,,,,,,,,
10077,18 Wheeler: American Pro Trucker,GC,2002,Racing,Acclaim Entertainment,0.09,0.02,0,0,0.11
,,,,,,,,,,
15155,18 Wheels of Steel: Extreme Trucker,PC,2009,Racing,Rondomedia,0,0.02,0,0,0.02
,,,,,,,,,,
10160,18 Wheels of Steel: Extreme Trucker 2,PC,2011,Racing,Rondomedia,0.08,0.02,0,0.01,0.11
,,,,,,,,,,
8896,187: Ride or Die,PS2,2005,Racing,Ubisoft,0.07,0.06,0,0.02,0.15
,,,,,,,,,,
12255,187: Ride or Die,XB,2005,Racing,Ubisoft,0.05,0.01,0,0,0.06
,,,,,,,,,,
2061,1942,NES,1985,Shooter,Capcom,0.65,0.14,0.21,0,1
,,,,,,,,,,
9833,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,2005,Racing,THQ,0.09,0.03,0,0,0.12
,,,,,,,,,,
1000,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,Action,THQ,1.26,0.47,0,0.03,1.76
,,,,,,,,,,
1015,2 Games in 1: Disney Princess & The Lion King,GBA,2004,Misc,THQ,1.25,0.46,0,0.03,1.75
,,,,,,,,,,
5750,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005,Action,THQ,0.22,0.08,0,0.01,0.31
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
